<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20190731;014800;5.5592000;5.5597000;5.5566000;5.5576000;86
20190731;014900;5.5576000;5.5600000;5.5564000;5.5577000;240
20190731;015000;5.5577000;5.5596000;5.5566000;5.5576000;74
20190731;015100;5.5576000;5.5600000;5.5566000;5.5576000;65
20190731;015200;5.5576000;5.5600000;5.5545000;5.5568000;298
20190731;015300;5.5573000;5.5595000;5.5551000;5.5573000;272
20190731;015400;5.5579000;5.5583000;5.5552000;5.5562000;104
20190731;015500;5.5572000;5.5586000;5.5549000;5.5561000;382
20190731;015600;5.5575000;5.5584000;5.5553000;5.5572000;105
20190731;015700;5.5557300;5.5583000;5.5549000;5.5571000;109
20190731;015800;5.5570000;5.5581000;5.5550000;5.5556200;208
20190731;015900;5.5556200;5.5581000;5.5551000;5.5560000;80
20190731;020000;5.5551000;5.5579000;5.5551000;5.5560000;50
20190731;020100;5.5582500;5.5585000;5.5540000;5.5580000;160
20190731;020200;5.5577000;5.5586000;5.5554000;5.5556800;180
20190731;020300;5.5583000;5.5588000;5.5551000;5.5559000;264
20190731;020400;5.5578000;5.5591000;5.5552000;5.5591000;83
20190731;020500;5.5584000;5.5590000;5.5551000;5.5590000;174
20190731;020600;5.5583000;5.5589000;5.5557600;5.5571000;75
20190731;020700;5.5582000;5.5591000;5.5555700;5.5583000;85
20190731;020800;5.5576000;5.5589000;5.5553400;5.5586000;239
20190731;020900;5.5556400;5.5589000;5.5556400;5.5571000;149
20190731;021000;5.5583000;5.5586000;5.5553800;5.5582000;122
20190731;021100;5.5582000;5.5592000;5.5553800;5.5582000;74
20190731;021200;5.5582000;5.5586000;5.5553400;5.5582000;50
20190731;021300;5.5582000;5.5582000;5.5553400;5.5569000;50
20190731;021400;5.5582000;5.5582000;5.5554700;5.5566000;71
20190731;021500;5.5582000;5.5582000;5.5554700;5.5582000;64
20190731;021600;5.5582000;5.5582000;5.5554700;5.5569000;77
20190731;021700;5.5582000;5.5591000;5.5562500;5.5581000;45
20190731;021800;5.5581000;5.5581000;5.5559000;5.5581000;34
20190731;021900;5.5581000;5.5582000;5.5562000;5.5581000;64
20190731;022000;5.5576200;5.5588500;5.5558000;5.5583000;118
20190731;022100;5.5583000;5.5588000;5.5561000;5.5582000;81
20190731;022200;5.5582000;5.5588000;5.5558000;5.5570000;103
20190731;022300;5.5569900;5.5588000;5.5560000;5.5580000;95
20190731;022400;5.5582000;5.5590000;5.5559000;5.5582000;57
20190731;022500;5.5582000;5.5586000;5.5559000;5.5582000;79
20190731;022600;5.5582000;5.5586000;5.5560000;5.5582000;50
20190731;022700;5.5582000;5.5586000;5.5558000;5.5582000;67
20190731;022800;5.5582000;5.5586000;5.5560000;5.5582000;60
20190731;022900;5.5582000;5.5586000;5.5558000;5.5582000;44
20190731;023000;5.5582000;5.5587000;5.5558000;5.5567000;83
20190731;023100;5.5581000;5.5581000;5.5566000;5.5567000;39
20190731;023200;5.5581000;5.5586000;5.5557000;5.5581000;30
20190731;023300;5.5581000;5.5586000;5.5558000;5.5581000;80
20190731;023400;5.5564000;5.5583000;5.5559000;5.5583000;79
20190731;023500;5.5585000;5.5586000;5.5559000;5.5581000;56
20190731;023600;5.5581000;5.5586000;5.5557000;5.5580000;73
20190731;023700;5.5581000;5.5587700;5.5559000;5.5561000;49
20190731;023800;5.5580000;5.5586000;5.5560000;5.5569100;80
20190731;023900;5.5581000;5.5581000;5.5558000;5.5578000;30
20190731;024000;5.5581000;5.5581000;5.5558000;5.5581000;61
20190731;024100;5.5581000;5.5583000;5.5557000;5.5563900;73
20190731;024200;5.5575000;5.5586000;5.5563900;5.5581000;36
20190731;024300;5.5581000;5.5586000;5.5557000;5.5581000;54
20190731;024400;5.5575200;5.5585000;5.5556000;5.5578000;67
20190731;024500;5.5581000;5.5581000;5.5557000;5.5581000;49
20190731;024600;5.5569700;5.5581000;5.5555000;5.5566000;67
20190731;024700;5.5562000;5.5581000;5.5556000;5.5581000;53
20190731;024800;5.5579000;5.5581000;5.5557000;5.5578000;74
20190731;024900;5.5581000;5.5581000;5.5556000;5.5578000;53
20190731;025000;5.5570700;5.5581000;5.5559000;5.5581000;59
20190731;025100;5.5581000;5.5581000;5.5556000;5.5574000;85
20190731;025200;5.5578000;5.5581000;5.5555000;5.5581000;67
20190731;025300;5.5581000;5.5586000;5.5559000;5.5579000;104
20190731;025400;5.5583000;5.5587000;5.5558000;5.5569000;60
20190731;025500;5.5563000;5.5583000;5.5563000;5.5583000;61
20190731;025600;5.5583000;5.5586000;5.5555000;5.5576000;201
20190731;025700;5.5556000;5.5588000;5.5556000;5.5569000;116
20190731;025800;5.5576000;5.5588000;5.5556000;5.5581000;101
20190731;025900;5.5581000;5.5588500;5.5557000;5.5563600;96
20190731;030000;5.5563600;5.5590000;5.5557000;5.5573000;92
20190731;030100;5.5581000;5.5588500;5.5558000;5.5581000;115
20190731;030200;5.5578000;5.5595000;5.5558000;5.5589000;312
20190731;030300;5.5582000;5.5597000;5.5560000;5.5588000;714
20190731;030400;5.5588000;5.5594000;5.5563000;5.5594000;102
20190731;030500;5.5587000;5.5594000;5.5563000;5.5584000;101
20190731;030600;5.5585000;5.5594000;5.5561000;5.5571000;136
20190731;030700;5.5580000;5.5592000;5.5561000;5.5588000;74
